unix_ms,workers_total,workers_active,workers_assigned,actors_total,running,resuming,suspending,suspended,paused,crashed
1790391825485,10,10,1,1,0,0,0,0,0,0
1790391830455,10,10,9,12,1,0,7,3,0,0
1790391835452,10,10,9,23,1,0,7,14,0,0
1790391840461,10,10,9,32,0,0,7,24,0,0
1790391845452,10,10,9,44,1,2,5,35,0,0
1790391850452,10,10,7,50,0,1,4,44,0,0
1790391855452,10,10,3,50,0,0,2,47,0,0
1790391860452,10,10,3,50,0,0,2,47,0,0
1790391865452,10,10,3,50,0,0,2,47,0,0
1790391870452,10,10,3,50,0,0,2,47,0,0
1790391875452,10,10,3,50,0,0,2,47,0,0
1790391880452,10,10,3,50,0,0,2,47,0,0
1790391885452,10,10,3,50,0,0,2,47,0,0
1790391890452,10,10,4,50,1,0,2,46,0,0
1790391895451,10,10,3,50,0,0,2,47,0,0
1790391900452,10,10,3,50,0,0,2,47,0,0
1790391905453,10,10,3,50,0,0,2,47,0,0
1790391910452,10,10,4,50,1,0,2,46,0,0
1790391915452,10,10,4,50,1,0,2,46,0,0
1790391920452,10,10,4,50,0,1,2,46,0,0
1790391925452,10,10,4,50,1,0,2,46,0,0
1790391930452,10,10,4,50,0,0,2,47,0,0
1790391935451,10,10,3,50,1,0,2,46,0,0
1790391940452,10,10,4,50,1,0,2,46,0,0
1790391945452,10,10,4,50,1,0,2,46,0,0
1790391950452,10,10,4,50,0,0,3,46,0,0
1790391955452,10,10,3,50,0,0,2,47,0,0
1790391960452,10,10,4,50,0,0,2,47,0,0
1790391965452,10,10,7,50,4,0,2,43,0,0
1790391970451,10,10,3,50,0,0,2,47,0,0
1790391975452,10,10,3,50,0,0,2,47,0,0
1790391980452,10,10,4,50,1,0,2,46,0,0
1790391985452,10,10,4,50,0,1,2,46,0,0
1790391990451,10,10,4,50,1,0,2,46,0,0
1790391995452,10,10,5,50,0,1,2,46,0,0
1790392000451,10,10,4,50,1,0,2,46,0,0
1790392005452,10,10,3,50,0,0,2,47,0,0
1790392010452,10,10,3,48,2,0,0,45,0,0
1790392015452,10,10,1,48,0,0,0,47,0,0
1790392020452,10,10,2,50,1,0,0,48,0,0
1790392025452,10,10,2,50,1,0,0,48,0,0
1790392030452,10,10,1,50,0,0,0,49,0,0
1790392035452,10,10,3,50,1,1,0,47,0,0
1790392040452,10,10,3,50,1,0,1,47,0,0
1790392045452,10,10,2,50,0,0,0,49,0,0
1790392050452,10,10,2,50,1,0,0,48,0,0
1790392055451,10,10,3,50,1,0,0,48,0,0
1790392060452,10,10,2,50,1,0,0,48,0,0
1790392065452,10,10,2,50,1,0,0,48,0,0
1790392070452,10,10,3,50,2,0,0,47,0,0
1790392075452,10,10,2,50,1,0,0,48,0,0
1790392080452,10,10,4,50,2,0,0,47,0,0
1790392085452,10,10,4,50,3,0,0,46,0,0
1790392090453,10,10,3,50,2,0,0,47,0,0
1790392095452,10,10,3,50,2,0,0,47,0,0
1790392100452,10,10,3,50,2,0,0,47,0,0
1790392105452,10,10,3,50,2,0,0,47,0,0
1790392110452,10,10,5,50,3,1,0,45,0,0
1790392115452,10,10,3,50,2,0,0,47,0,0
1790392120452,10,10,6,50,2,2,0,45,0,0
1790392125452,10,10,6,50,5,0,0,44,0,0
1790392130452,10,10,4,50,3,0,0,46,0,0
1790392135452,10,10,4,50,3,0,0,46,0,0
1790392140452,10,10,6,50,4,0,0,45,0,0
1790392145452,10,10,4,50,3,0,0,46,0,0
1790392150452,10,10,3,50,2,0,0,47,0,0
1790392155452,10,10,4,50,2,0,0,47,0,0
1790392160452,10,10,3,50,2,0,0,47,0,0
1790392165452,10,10,3,50,2,0,0,47,0,0
1790392170452,10,10,3,50,2,0,0,47,0,0
1790392175452,10,10,2,50,1,0,0,48,0,0
1790392180451,10,10,2,50,1,0,0,48,0,0
1790392185451,10,10,2,50,1,0,0,48,0,0
1790392190452,10,10,2,50,1,0,0,48,0,0
1790392195452,10,10,3,50,2,0,0,47,0,0
1790392200452,10,10,3,50,1,1,0,47,0,0
1790392205452,10,10,3,50,2,0,0,47,0,0
1790392210452,10,10,2,50,1,0,0,48,0,0
1790392215451,10,10,3,50,0,2,1,46,0,0
1790392220452,10,10,4,50,0,1,2,46,0,0
1790392225452,10,10,1,50,0,0,0,49,0,0
1790392230452,10,10,1,50,0,0,0,49,0,0
1790392235454,10,10,2,50,0,0,0,49,0,0
1790392240452,10,10,2,50,1,0,0,48,0,0
1790392245452,10,10,1,50,0,0,1,48,0,0
1790392250452,10,10,1,50,0,0,0,49,0,0
1790392255453,10,10,1,50,0,0,0,49,0,0
1790392260452,10,10,1,50,0,0,0,49,0,0
1790392265452,10,10,1,50,0,0,0,49,0,0
1790392270452,10,10,2,50,0,0,0,49,0,0
1790392275452,10,10,1,50,0,0,0,49,0,0
1790392280452,10,10,1,50,0,0,0,49,0,0
1790392285452,10,10,1,50,0,0,0,49,0,0
1790392290452,10,10,2,50,0,0,0,49,0,0
1790392295451,10,10,2,50,2,0,0,47,0,0
1790392300451,10,10,2,50,0,1,0,48,0,0
1790392305452,10,10,2,50,2,0,0,47,0,0
1790392310453,10,10,4,50,1,0,0,48,0,0
1790392315451,10,10,3,50,2,0,1,46,0,0
1790392320452,10,10,3,50,1,1,0,47,0,0
1790392325451,10,10,2,50,2,0,0,47,0,0
1790392330452,10,10,3,50,2,0,0,47,0,0
1790392335451,10,10,2,50,0,1,1,47,0,0
1790392340452,10,10,1,50,0,0,0,49,0,0
1790392345452,10,10,2,50,1,0,0,48,0,0
1790392350452,10,10,1,50,0,0,0,49,0,0
1790392355452,10,10,1,50,0,0,0,49,0,0
1790392360452,10,10,1,50,0,0,0,49,0,0
1790392365452,10,10,1,50,0,0,0,49,0,0
1790392370452,10,10,1,50,0,0,0,49,0,0
1790392375451,10,10,1,50,0,0,0,49,0,0
1790392380452,10,10,1,50,0,0,0,49,0,0
